date,station,rr
2017-10-29 11:20:00,AWS Pasaman Barat,13.2
2017-10-31 08:40:00,AWS Pasaman Barat,13.2
2017-11-01 08:30:00,AWS Pasaman Barat,14.6
2017-11-01 08:40:00,AWS Pasaman Barat,17.6
2017-11-01 08:50:00,AWS Pasaman Barat,12.8
2017-11-09 11:20:00,AWS Pasaman Barat,12.4
2017-11-15 08:50:00,AWS Pasaman Barat,12.0
2017-12-03 13:20:00,AWS Pasaman Barat,15.40000000000001
2017-12-22 08:00:00,AWS Pasaman Barat,12.4
2017-12-22 15:00:00,AWS Pasaman Barat,12.6
2018-02-06 09:20:00,AWS Pasaman Barat,11.8
2018-02-24 12:30:00,AWS Pasaman Barat,14.0
2018-03-14 10:10:00,AWS Pasaman Barat,11.8
2018-04-04 07:50:00,AWS Pasaman Barat,11.4
2018-04-05 11:10:00,AWS Pasaman Barat,13.2
2018-04-07 15:20:00,AWS Pasaman Barat,11.8
2018-04-16 05:00:00,AWS Pasaman Barat,17.0
2018-04-18 09:40:00,AWS Pasaman Barat,17.6
2018-04-19 09:20:00,AWS Pasaman Barat,11.2
2018-04-19 11:00:00,AWS Pasaman Barat,11.8
2018-05-07 10:30:00,AWS Pasaman Barat,11.2
2018-05-11 07:10:00,AWS Pasaman Barat,11.8
2018-05-13 08:10:00,AWS Pasaman Barat,12.0
2018-05-15 09:10:00,AWS Pasaman Barat,15.0
2018-05-16 07:10:00,AWS Pasaman Barat,13.6
2018-05-18 08:10:00,AWS Pasaman Barat,13.0
2018-05-18 08:20:00,AWS Pasaman Barat,18.8
2018-05-18 08:30:00,AWS Pasaman Barat,23.0
2018-05-19 09:50:00,AWS Pasaman Barat,12.2
2018-05-22 11:40:00,AWS Pasaman Barat,12.0
2018-05-22 12:00:00,AWS Pasaman Barat,14.60000000000001
2018-05-22 12:10:00,AWS Pasaman Barat,15.0
2018-06-13 08:50:00,AWS Pasaman Barat,11.6
2018-06-13 09:00:00,AWS Pasaman Barat,20.2
2018-06-14 05:40:00,AWS Pasaman Barat,13.6
2018-06-22 17:00:00,AWS Pasaman Barat,11.2
2018-07-07 10:30:00,AWS Pasaman Barat,11.2
2018-08-04 08:50:00,AWS Pasaman Barat,14.8
2018-08-05 00:00:00,AWS Pasaman Barat,11.2
2018-08-05 00:10:00,AWS Pasaman Barat,12.0
2018-09-27 07:30:00,AWS Pasaman Barat,11.6
2018-09-27 07:40:00,AWS Pasaman Barat,18.8
2018-09-27 07:50:00,AWS Pasaman Barat,14.6
2018-09-28 06:40:00,AWS Pasaman Barat,12.2
2018-10-04 10:30:00,AWS Pasaman Barat,11.4
2018-10-04 10:40:00,AWS Pasaman Barat,12.0
2018-10-11 11:10:00,AWS Pasaman Barat,12.2
2018-10-11 11:20:00,AWS Pasaman Barat,12.0
2018-10-11 11:30:00,AWS Pasaman Barat,11.6
2018-10-16 06:20:00,AWS Pasaman Barat,12.2
2018-10-16 06:30:00,AWS Pasaman Barat,11.8
2018-10-17 07:50:00,AWS Pasaman Barat,16.0
2018-10-17 08:10:00,AWS Pasaman Barat,18.6
2018-10-17 08:20:00,AWS Pasaman Barat,13.6
2018-10-22 06:40:00,AWS Pasaman Barat,16.2
2018-10-22 06:50:00,AWS Pasaman Barat,21.4
2018-10-22 07:00:00,AWS Pasaman Barat,14.0
2018-10-26 06:40:00,AWS Pasaman Barat,11.6
2018-10-30 09:30:00,AWS Pasaman Barat,12.4
2018-11-01 10:10:00,AWS Pasaman Barat,14.6
2018-11-02 06:40:00,AWS Pasaman Barat,14.2
2018-11-02 06:50:00,AWS Pasaman Barat,11.2
2018-11-07 07:50:00,AWS Pasaman Barat,19.6
2018-11-07 08:20:00,AWS Pasaman Barat,18.6
2018-11-21 08:50:00,AWS Pasaman Barat,12.8
2018-12-02 11:30:00,AWS Pasaman Barat,21.4
2018-12-02 11:40:00,AWS Pasaman Barat,15.4
2018-12-04 08:50:00,AWS Pasaman Barat,14.8
2018-12-05 08:10:00,AWS Pasaman Barat,13.8
2018-12-05 08:20:00,AWS Pasaman Barat,20.4
2018-12-05 08:30:00,AWS Pasaman Barat,16.0
2018-12-06 08:40:00,AWS Pasaman Barat,12.8
2018-12-22 07:50:00,AWS Pasaman Barat,16.6
2018-12-22 08:00:00,AWS Pasaman Barat,15.6
2019-01-01 06:30:00,AWS Pasaman Barat,14.6
2019-01-02 09:00:00,AWS Pasaman Barat,19.8
2019-01-03 11:20:00,AWS Pasaman Barat,13.8
2019-02-05 09:50:00,AWS Pasaman Barat,11.4
2019-02-05 10:00:00,AWS Pasaman Barat,16.2
2019-02-06 11:10:00,AWS Pasaman Barat,11.6
2019-03-09 09:30:00,AWS Pasaman Barat,26.6
2019-03-09 09:40:00,AWS Pasaman Barat,13.0
2019-03-09 09:50:00,AWS Pasaman Barat,13.0
2019-06-20 08:50:00,AWS Pasaman Barat,13.6
2019-06-20 09:00:00,AWS Pasaman Barat,24.0
2019-07-07 08:30:00,AWS Pasaman Barat,12.4
2019-07-26 13:50:00,AWS Pasaman Barat,13.8
2019-07-26 14:00:00,AWS Pasaman Barat,17.2
2019-07-27 10:30:00,AWS Pasaman Barat,22.0
2019-07-27 10:40:00,AWS Pasaman Barat,26.59999999999999
2019-07-27 10:50:00,AWS Pasaman Barat,12.60000000000001
2019-07-27 11:00:00,AWS Pasaman Barat,11.39999999999999
2019-08-21 06:10:00,AWS Pasaman Barat,16.4
2019-08-21 06:20:00,AWS Pasaman Barat,12.6
2019-10-06 07:20:00,AWS Pasaman Barat,14.6
2019-10-08 09:40:00,AWS Pasaman Barat,11.8
2019-10-08 10:00:00,AWS Pasaman Barat,13.80000000000001
2019-10-13 07:50:00,AWS Pasaman Barat,11.2
2019-11-20 07:40:00,AWS Pasaman Barat,12.2
2019-11-20 07:50:00,AWS Pasaman Barat,12.8
2019-11-23 11:50:00,AWS Pasaman Barat,11.8
2019-12-22 09:20:00,AWS Pasaman Barat,12.4
2019-12-22 09:30:00,AWS Pasaman Barat,11.2
2019-12-27 08:40:00,AWS Pasaman Barat,12.8
2020-02-06 06:00:00,AWS Pasaman Barat,13.6
2020-02-06 06:10:00,AWS Pasaman Barat,20.4
2020-02-14 07:30:00,AWS Pasaman Barat,11.8
2020-03-06 07:50:00,AWS Pasaman Barat,19.4
2020-03-12 08:40:00,AWS Pasaman Barat,14.6
2020-03-12 08:50:00,AWS Pasaman Barat,15.2
2020-03-18 10:10:00,AWS Pasaman Barat,16.6
2020-03-18 10:20:00,AWS Pasaman Barat,15.8
2020-04-13 21:40:00,AWS Pasaman Barat,13.0
2020-04-14 11:50:00,AWS Pasaman Barat,16.4
2020-04-17 07:10:00,AWS Pasaman Barat,11.2
2020-04-17 07:30:00,AWS Pasaman Barat,15.2
2020-04-22 08:10:00,AWS Pasaman Barat,14.0
2020-04-24 10:10:00,AWS Pasaman Barat,15.6
2020-04-24 10:20:00,AWS Pasaman Barat,19.0
2020-04-24 10:30:00,AWS Pasaman Barat,12.8
2020-04-30 06:40:00,AWS Pasaman Barat,11.8
2020-05-15 19:50:00,AWS Pasaman Barat,12.0
2020-05-16 19:10:00,AWS Pasaman Barat,11.6
2020-05-16 19:20:00,AWS Pasaman Barat,14.2
2020-05-16 19:30:00,AWS Pasaman Barat,14.4
2020-05-16 19:40:00,AWS Pasaman Barat,13.2
2020-05-16 19:50:00,AWS Pasaman Barat,14.59999999999999
2020-05-30 12:30:00,AWS Pasaman Barat,11.8
2020-06-16 09:10:00,AWS Pasaman Barat,11.8
2020-06-16 09:50:00,AWS Pasaman Barat,18.8
2020-06-16 10:00:00,AWS Pasaman Barat,14.39999999999999
2020-06-18 09:20:00,AWS Pasaman Barat,12.6
2020-06-18 09:30:00,AWS Pasaman Barat,11.8
2020-07-16 09:10:00,AWS Pasaman Barat,12.6
