station,99.9th Percentile,number of events
AAWS Balitbu Sumani,4.1,251
AAWS GAW Bukit Kototabang,5.7,350
AAWS Harau (AWS ),6.2,274
AAWS Staklim Padang Pariaman,10.4,341
ARG Ampek Nagari,9.2,329
ARG Batang Kapas,7.6,288
ARG Guguak,6.6,306
ARG Kapur IX,10.2,117
ARG Linggosari Baganti,8.4,266
ARG Rao Pasaman,6.2,201
ARG SMPK Tanah Datar,6.6,270
ARG Sijunjung,6.8,344
ARG Sipora Jaya,8.2,281
ARG Solok,5.2,298
ARG Solok Selatan,8.8,299
ARG Sungai Dareh,7.6,315
ARG Sungai Limau,8.8,307
AWS Alahan Panjang,3.8,392
AWS Digi Stamet Padang,6.8,307
AWS Maritim Teluk Bayur,6.1,25
AWS Pasaman Barat,11.2,318
