date,station,rr
2015-01-01,AAWS,0.0
2015-01-02,AAWS,0.0
2015-01-03,AAWS,0.0
2015-01-04,AAWS,1.2999999999999998
2015-01-05,AAWS,1.3
2015-01-06,AAWS,0.0
2015-01-07,AAWS,0.9
2015-01-08,AAWS,34.5
2015-01-09,AAWS,6.1
2015-01-10,AAWS,9.800000000000002
2015-01-11,AAWS,0.0
2015-01-12,AAWS,0.0
2015-01-13,AAWS,0.499999999999999
2015-01-14,AAWS,0.1
2015-01-15,AAWS,0.0
2015-01-16,AAWS,0.0
2015-01-17,AAWS,28.1
2015-01-18,AAWS,0.0
2015-01-19,AAWS,12.0
2015-01-20,AAWS,6.900000000000001
2015-01-21,AAWS,0.2
2015-01-22,AAWS,33.599999999999994
2015-01-23,AAWS,112.0
2015-01-24,AAWS,0.6
2015-01-25,AAWS,0.2
2015-01-26,AAWS,19.9
2015-01-27,AAWS,0.0
2015-01-28,AAWS,32.0
2015-01-29,AAWS,10.3
2015-01-30,AAWS,34.3
2015-01-31,AAWS,0.2
2015-02-01,AAWS,0.0
2015-02-02,AAWS,0.0
2015-02-03,AAWS,0.0
2015-02-04,AAWS,0.0
2015-02-05,AAWS,28.899999999999995
2015-02-06,AAWS,0.2
2015-02-07,AAWS,0.0
2015-02-08,AAWS,0.0
2015-02-09,AAWS,0.0
2015-02-10,AAWS,0.0
2015-02-11,AAWS,0.0
2015-02-12,AAWS,0.0
2015-02-13,AAWS,0.0
2015-02-14,AAWS,42.99999999999999
2015-02-15,AAWS,0.0
2015-02-16,AAWS,4.4
2015-02-17,AAWS,6.1000000000000005
2015-02-18,AAWS,46.000000000000014
2015-02-19,AAWS,0.0
2015-02-20,AAWS,0.0
2015-02-21,AAWS,0.0
2015-02-22,AAWS,0.0
2015-02-23,AAWS,1.1
2015-02-24,AAWS,3.5
2015-02-25,AAWS,9.499999999999998
2015-02-26,AAWS,49.1
2015-02-27,AAWS,9.500000000000002
2015-02-28,AAWS,16.7
2015-03-01,AAWS,3.6999999999999993
2015-03-02,AAWS,0.0
2015-03-03,AAWS,0.0
2015-03-04,AAWS,0.0
2015-03-05,AAWS,0.0
2015-03-06,AAWS,0.0
2015-03-07,AAWS,40.300000000000004
2015-03-08,AAWS,14.500000000000002
2015-03-09,AAWS,0.4
2015-03-10,AAWS,18.2
2015-03-11,AAWS,9.5
2015-03-12,AAWS,0.0
2015-03-13,AAWS,56.8
2015-03-14,AAWS,0.0
2015-03-15,AAWS,0.0
2015-03-16,AAWS,0.0
2015-03-17,AAWS,0.0
2015-03-18,AAWS,0.0
2015-03-19,AAWS,0.0
2015-03-20,AAWS,0.0
2015-03-21,AAWS,0.0
2015-03-22,AAWS,0.0
2015-03-23,AAWS,0.0
2015-03-24,AAWS,0.0
2015-03-25,AAWS,0.0
2015-03-26,AAWS,0.0
2015-03-27,AAWS,0.0
2015-03-28,AAWS,0.0
2015-03-29,AAWS,0.0
2015-03-30,AAWS,0.0
2015-03-31,AAWS,0.0
2015-04-01,AAWS,0.0
2015-04-02,AAWS,0.0
2015-04-03,AAWS,0.0
2015-04-04,AAWS,0.0
2015-04-05,AAWS,0.0
2015-04-06,AAWS,0.0
2015-04-07,AAWS,0.0
2015-04-08,AAWS,0.0
2015-04-09,AAWS,0.0
2015-04-10,AAWS,0.0
2015-04-11,AAWS,0.0
2015-04-12,AAWS,0.0
2015-04-13,AAWS,0.0
2015-04-14,AAWS,0.0
2015-04-15,AAWS,0.0
2015-04-16,AAWS,0.0
2015-04-17,AAWS,0.0
2015-04-18,AAWS,0.0
2015-04-19,AAWS,0.0
2015-04-20,AAWS,0.0
2015-04-21,AAWS,0.0
2015-04-22,AAWS,0.0
2015-04-23,AAWS,0.0
2015-04-24,AAWS,0.0
2015-04-25,AAWS,0.0
2015-04-26,AAWS,0.0
2015-04-27,AAWS,0.0
2015-04-28,AAWS,0.0
2015-04-29,AAWS,0.0
2015-04-30,AAWS,0.0
2015-05-01,AAWS,0.0
2015-05-02,AAWS,0.0
2015-05-03,AAWS,0.0
2015-05-04,AAWS,0.0
2015-05-05,AAWS,0.0
2015-05-06,AAWS,0.0
2015-05-07,AAWS,0.0
2015-05-08,AAWS,0.0
2015-05-09,AAWS,0.0
2015-05-10,AAWS,0.0
2015-05-11,AAWS,0.0
2015-05-12,AAWS,0.0
2015-05-13,AAWS,0.0
2015-05-14,AAWS,0.0
2015-05-15,AAWS,0.0
2015-05-16,AAWS,0.0
2015-05-17,AAWS,0.0
2015-05-18,AAWS,0.0
2015-05-19,AAWS,0.0
2015-05-20,AAWS,0.0
2015-05-21,AAWS,0.0
2015-05-22,AAWS,0.0
2015-05-23,AAWS,0.0
2015-05-24,AAWS,0.0
2015-05-25,AAWS,0.0
2015-05-26,AAWS,0.0
2015-05-27,AAWS,0.0
2015-05-28,AAWS,0.0
2015-05-29,AAWS,0.0
2015-05-30,AAWS,0.0
2015-05-31,AAWS,0.0
2015-06-01,AAWS,0.0
2015-06-02,AAWS,0.0
2015-06-03,AAWS,0.0
2015-06-04,AAWS,0.0
2015-06-05,AAWS,0.0
2015-06-06,AAWS,0.0
2015-06-07,AAWS,0.0
2015-06-08,AAWS,0.0
2015-06-09,AAWS,0.0
2015-06-10,AAWS,0.0
2015-06-11,AAWS,0.0
2015-06-12,AAWS,0.0
2015-06-13,AAWS,0.0
2015-06-14,AAWS,0.0
2015-06-15,AAWS,0.0
2015-06-16,AAWS,0.0
2015-06-17,AAWS,0.0
2015-06-18,AAWS,0.0
2015-06-19,AAWS,0.0
2015-06-20,AAWS,0.0
2015-06-21,AAWS,0.0
2015-06-22,AAWS,0.0
2015-06-23,AAWS,0.0
2015-06-24,AAWS,0.0
2015-06-25,AAWS,0.0
2015-06-26,AAWS,0.0
2015-06-27,AAWS,0.0
2015-06-28,AAWS,0.0
2015-06-29,AAWS,0.0
2015-06-30,AAWS,0.0
2015-07-01,AAWS,0.0
2015-07-02,AAWS,0.0
2015-07-03,AAWS,0.0
2015-07-04,AAWS,0.0
2015-07-05,AAWS,0.0
2015-07-06,AAWS,0.0
2015-07-07,AAWS,0.0
2015-07-08,AAWS,0.0
2015-07-09,AAWS,0.0
2015-07-10,AAWS,0.0
2015-07-11,AAWS,0.0
2015-07-12,AAWS,0.0
2015-07-13,AAWS,0.0
2015-07-14,AAWS,0.0
2015-07-15,AAWS,0.0
2015-07-16,AAWS,0.0
2015-07-17,AAWS,0.0
2015-07-18,AAWS,0.0
2015-07-19,AAWS,0.0
2015-07-20,AAWS,0.0
2015-07-21,AAWS,0.0
2015-07-22,AAWS,0.0
2015-07-23,AAWS,0.0
2015-07-24,AAWS,0.0
2015-07-25,AAWS,0.0
2015-07-26,AAWS,0.0
2015-07-27,AAWS,0.0
2015-07-28,AAWS,0.0
2015-07-29,AAWS,0.0
2015-07-30,AAWS,0.0
2015-07-31,AAWS,0.0
2015-08-01,AAWS,0.0
2015-08-02,AAWS,0.0
2015-08-03,AAWS,0.0
2015-08-04,AAWS,0.0
2015-08-05,AAWS,0.0
2015-08-06,AAWS,0.0
2015-08-07,AAWS,0.0
2015-08-08,AAWS,0.0
2015-08-09,AAWS,0.0
2015-08-10,AAWS,0.0
2015-08-11,AAWS,0.0
2015-08-12,AAWS,0.0
2015-08-13,AAWS,0.0
2015-08-14,AAWS,0.0
2015-08-15,AAWS,0.0
2015-08-16,AAWS,0.0
2015-08-17,AAWS,0.0
2015-08-18,AAWS,0.0
2015-08-19,AAWS,0.0
2015-08-20,AAWS,0.0
2015-08-21,AAWS,0.0
2015-08-22,AAWS,0.0
2015-08-23,AAWS,0.0
2015-08-24,AAWS,0.0
2015-08-25,AAWS,0.0
2015-08-26,AAWS,0.0
2015-08-27,AAWS,0.0
2015-08-28,AAWS,0.0
2015-08-29,AAWS,0.0
2015-08-30,AAWS,0.0
2015-08-31,AAWS,0.0
2015-09-01,AAWS,0.0
2015-09-02,AAWS,0.0
2015-09-03,AAWS,0.0
2015-09-04,AAWS,0.0
2015-09-05,AAWS,0.0
2015-09-06,AAWS,0.0
2015-09-07,AAWS,0.0
2015-09-08,AAWS,0.0
2015-09-09,AAWS,0.0
2015-09-10,AAWS,0.0
2015-09-11,AAWS,0.0
2015-09-12,AAWS,0.0
2015-09-13,AAWS,0.0
2015-09-14,AAWS,0.0
2015-09-15,AAWS,0.0
2015-09-16,AAWS,0.0
2015-09-17,AAWS,0.0
2015-09-18,AAWS,0.0
2015-09-19,AAWS,0.0
2015-09-20,AAWS,0.0
2015-09-21,AAWS,0.0
2015-09-22,AAWS,0.0
2015-09-23,AAWS,0.0
2015-09-24,AAWS,0.0
2015-09-25,AAWS,0.0
2015-09-26,AAWS,0.0
2015-09-27,AAWS,0.0
2015-09-28,AAWS,0.0
2015-09-29,AAWS,0.0
2015-09-30,AAWS,0.0
2015-10-01,AAWS,0.0
2015-10-02,AAWS,0.0
2015-10-03,AAWS,0.0
2015-10-04,AAWS,0.0
2015-10-05,AAWS,0.0
2015-10-06,AAWS,0.0
2015-10-07,AAWS,0.0
2015-10-08,AAWS,0.0
2015-10-09,AAWS,0.0
2015-10-10,AAWS,0.0
2015-10-11,AAWS,0.0
2015-10-12,AAWS,0.0
2015-10-13,AAWS,0.0
2015-10-14,AAWS,0.0
2015-10-15,AAWS,0.0
2015-10-16,AAWS,0.0
2015-10-17,AAWS,0.0
2015-10-18,AAWS,0.0
2015-10-19,AAWS,0.0
2015-10-20,AAWS,0.0
2015-10-21,AAWS,0.0
2015-10-22,AAWS,0.0
2015-10-23,AAWS,0.0
2015-10-24,AAWS,0.0
2015-10-25,AAWS,0.0
2015-10-26,AAWS,0.0
2015-10-27,AAWS,0.0
2015-10-28,AAWS,0.0
2015-10-29,AAWS,0.0
2015-10-30,AAWS,0.0
2015-10-31,AAWS,0.0
2015-11-01,AAWS,0.0
2015-11-02,AAWS,0.0
2015-11-03,AAWS,0.0
2015-11-04,AAWS,0.0
2015-11-05,AAWS,0.0
2015-11-06,AAWS,0.0
2015-11-07,AAWS,0.0
2015-11-08,AAWS,0.0
2015-11-09,AAWS,0.0
2015-11-10,AAWS,0.0
2015-11-11,AAWS,0.0
2015-11-12,AAWS,0.0
2015-11-13,AAWS,0.0
2015-11-14,AAWS,0.0
2015-11-15,AAWS,0.0
2015-11-16,AAWS,0.0
2015-11-17,AAWS,0.0
2015-11-18,AAWS,0.0
2015-11-19,AAWS,0.0
2015-11-20,AAWS,0.0
2015-11-21,AAWS,0.0
2015-11-22,AAWS,0.0
2015-11-23,AAWS,0.0
2015-11-24,AAWS,0.0
2015-11-25,AAWS,0.0
2015-11-26,AAWS,0.0
2015-11-27,AAWS,0.0
2015-11-28,AAWS,0.0
2015-11-29,AAWS,0.0
2015-11-30,AAWS,0.0
2015-12-01,AAWS,0.0
2015-12-02,AAWS,0.0
2015-12-03,AAWS,0.0
2015-12-04,AAWS,0.0
2015-12-05,AAWS,0.0
2015-12-06,AAWS,0.0
2015-12-07,AAWS,0.0
2015-12-08,AAWS,0.0
2015-12-09,AAWS,0.0
2015-12-10,AAWS,0.0
2015-12-11,AAWS,0.0
2015-12-12,AAWS,0.0
2015-12-13,AAWS,0.0
2015-12-14,AAWS,0.0
2015-12-15,AAWS,0.0
2015-12-16,AAWS,0.0
2015-12-17,AAWS,0.0
2015-12-18,AAWS,0.0
2015-12-19,AAWS,0.0
2015-12-20,AAWS,0.0
2015-12-21,AAWS,0.0
2015-12-22,AAWS,0.0
2015-12-23,AAWS,0.0
2015-12-24,AAWS,0.0
2015-12-25,AAWS,0.0
2015-12-26,AAWS,0.0
2015-12-27,AAWS,0.0
2015-12-28,AAWS,0.0
2015-12-29,AAWS,0.0
2015-12-30,AAWS,0.0
2015-12-31,AAWS,0.0
2016-01-01,AAWS,0.0
2016-01-02,AAWS,0.0
2016-01-03,AAWS,0.0
2016-01-04,AAWS,0.0
2016-01-05,AAWS,0.0
2016-01-06,AAWS,0.0
2016-01-07,AAWS,0.0
2016-01-08,AAWS,0.0
2016-01-09,AAWS,0.0
2016-01-10,AAWS,0.0
2016-01-11,AAWS,0.0
2016-01-12,AAWS,0.0
2016-01-13,AAWS,0.0
2016-01-14,AAWS,0.0
2016-01-15,AAWS,0.0
2016-01-16,AAWS,0.0
2016-01-17,AAWS,0.0
2016-01-18,AAWS,0.0
2016-01-19,AAWS,0.0
2016-01-20,AAWS,0.0
2016-01-21,AAWS,0.0
2016-01-22,AAWS,0.0
2016-01-23,AAWS,0.0
2016-01-24,AAWS,0.0
2016-01-25,AAWS,0.0
2016-01-26,AAWS,0.0
2016-01-27,AAWS,0.0
2016-01-28,AAWS,0.0
2016-01-29,AAWS,0.0
2016-01-30,AAWS,0.0
2016-01-31,AAWS,0.0
2016-02-01,AAWS,0.0
2016-02-02,AAWS,0.0
2016-02-03,AAWS,0.0
2016-02-04,AAWS,0.0
2016-02-05,AAWS,0.0
2016-02-06,AAWS,0.0
2016-02-07,AAWS,0.0
2016-02-08,AAWS,0.0
2016-02-09,AAWS,0.0
2016-02-10,AAWS,0.0
2016-02-11,AAWS,0.0
2016-02-12,AAWS,0.0
2016-02-13,AAWS,0.0
2016-02-14,AAWS,0.0
2016-02-15,AAWS,0.0
2016-02-16,AAWS,0.0
2016-02-17,AAWS,0.0
2016-02-18,AAWS,0.0
2016-02-19,AAWS,0.0
2016-02-20,AAWS,0.0
2016-02-21,AAWS,0.0
2016-02-22,AAWS,1.0
2016-02-23,AAWS,2.6
2016-02-24,AAWS,7.199999999999999
2016-02-25,AAWS,0.0
2016-02-26,AAWS,0.0
2016-02-27,AAWS,0.0
2016-02-28,AAWS,83.4
2016-02-29,AAWS,0.0
2016-03-01,AAWS,0.0
2016-03-02,AAWS,0.0
2016-03-03,AAWS,0.0
2016-03-04,AAWS,32.6
