date,station,rr
2017-09-11,ARG,0.0
2017-09-12,ARG,0.0
2017-09-13,ARG,0.0
2017-09-14,ARG,0.0
2017-09-15,ARG,0.0
2017-09-16,ARG,0.0
2017-09-17,ARG,0.0
2017-09-18,ARG,0.0
2017-09-19,ARG,0.0
2017-09-20,ARG,0.0
2017-09-21,ARG,0.0
2017-09-22,ARG,0.0
2017-09-23,ARG,0.0
2017-09-24,ARG,0.0
2017-09-25,ARG,0.0
2017-09-26,ARG,0.0
2017-09-27,ARG,0.0
2017-09-28,ARG,0.0
2017-09-29,ARG,0.0
2017-09-30,ARG,0.0
2017-10-01,ARG,0.0
2017-10-02,ARG,0.0
2017-10-03,ARG,0.0
2017-10-04,ARG,0.0
2017-10-05,ARG,0.0
2017-10-06,ARG,0.0
2017-10-07,ARG,0.0
2017-10-08,ARG,0.0
2017-10-09,ARG,0.0
2017-10-10,ARG,0.0
2017-10-11,ARG,0.0
2017-10-12,ARG,0.0
2017-10-13,ARG,0.0
2017-10-14,ARG,0.0
2017-10-15,ARG,0.0
2017-10-16,ARG,0.0
2017-10-17,ARG,0.0
2017-10-18,ARG,0.0
2017-10-19,ARG,0.0
2017-10-20,ARG,0.0
2017-10-21,ARG,0.0
2017-10-22,ARG,0.0
2017-10-23,ARG,0.0
2017-10-24,ARG,0.0
2017-10-25,ARG,0.0
2017-10-26,ARG,0.0
2017-10-27,ARG,0.0
2017-10-28,ARG,0.0
2017-10-29,ARG,0.0
2017-10-30,ARG,0.0
2017-10-31,ARG,0.0
2017-11-01,ARG,0.0
2017-11-02,ARG,0.0
2017-11-03,ARG,0.0
2017-11-04,ARG,0.0
2017-11-05,ARG,0.0
2017-11-06,ARG,0.0
2017-11-07,ARG,0.0
2017-11-08,ARG,0.0
2017-11-09,ARG,0.0
2017-11-10,ARG,0.0
2017-11-11,ARG,0.0
2017-11-12,ARG,0.0
2017-11-13,ARG,0.0
2017-11-14,ARG,0.0
2017-11-15,ARG,0.0
2017-11-16,ARG,0.0
2017-11-17,ARG,0.0
2017-11-18,ARG,0.0
2017-11-19,ARG,0.0
2017-11-20,ARG,0.0
2017-11-21,ARG,0.0
2017-11-22,ARG,0.0
2017-11-23,ARG,0.0
2017-11-24,ARG,0.0
2017-11-25,ARG,0.0
2017-11-26,ARG,0.0
2017-11-27,ARG,0.0
2017-11-28,ARG,0.0
2017-11-29,ARG,0.0
2017-11-30,ARG,0.0
2017-12-01,ARG,0.0
2017-12-02,ARG,0.0
2017-12-03,ARG,0.0
2017-12-04,ARG,0.0
2017-12-05,ARG,0.0
2017-12-06,ARG,0.0
2017-12-07,ARG,0.0
2017-12-08,ARG,0.0
2017-12-09,ARG,0.0
2017-12-10,ARG,0.0
2017-12-11,ARG,0.0
2017-12-12,ARG,0.0
2017-12-13,ARG,0.0
2017-12-14,ARG,0.0
2017-12-15,ARG,0.0
2017-12-16,ARG,0.0
2017-12-17,ARG,0.0
2017-12-18,ARG,0.0
2017-12-19,ARG,0.0
2017-12-20,ARG,0.0
2017-12-21,ARG,0.0
2017-12-22,ARG,0.0
2017-12-23,ARG,0.0
2017-12-24,ARG,0.0
2017-12-25,ARG,0.0
2017-12-26,ARG,0.0
2017-12-27,ARG,0.0
2017-12-28,ARG,0.0
2017-12-29,ARG,0.0
2017-12-30,ARG,0.0
2017-12-31,ARG,0.0
2018-01-01,ARG,0.0
2018-01-02,ARG,0.0
2018-01-03,ARG,0.0
2018-01-04,ARG,0.0
2018-01-05,ARG,8.6
2018-01-06,ARG,0.0
