date,station,rr
2021-09-09,ARG Kapur IX,0.0
2021-09-10,ARG Kapur IX,0.0
2021-09-11,ARG Kapur IX,0.0
2021-09-12,ARG Kapur IX,0.0
2021-09-13,ARG Kapur IX,0.0
2021-09-14,ARG Kapur IX,0.0
2021-09-15,ARG Kapur IX,0.0
2021-09-16,ARG Kapur IX,3.8
2021-09-17,ARG Kapur IX,23.2
2021-09-18,ARG Kapur IX,2.2
2021-09-19,ARG Kapur IX,0.0
2021-09-20,ARG Kapur IX,17.2
2021-09-21,ARG Kapur IX,8.4
2021-09-22,ARG Kapur IX,26.400000000000002
2021-09-23,ARG Kapur IX,6.6
2021-09-24,ARG Kapur IX,13.6
2021-09-25,ARG Kapur IX,0.0
2021-09-26,ARG Kapur IX,24.2
2021-09-27,ARG Kapur IX,14.600000000000001
2021-09-28,ARG Kapur IX,40.6
2021-09-29,ARG Kapur IX,13.6
2021-09-30,ARG Kapur IX,0.0
2021-10-01,ARG Kapur IX,0.0
2021-10-02,ARG Kapur IX,0.0
2021-10-03,ARG Kapur IX,0.0
2021-10-04,ARG Kapur IX,0.0
2021-10-05,ARG Kapur IX,0.0
2021-10-06,ARG Kapur IX,0.0
2021-10-07,ARG Kapur IX,0.0
2021-10-08,ARG Kapur IX,0.0
2021-10-09,ARG Kapur IX,3.1999999999999997
2021-10-10,ARG Kapur IX,8.8
2021-10-11,ARG Kapur IX,0.0
2021-10-12,ARG Kapur IX,0.0
2021-10-13,ARG Kapur IX,0.0
2021-10-14,ARG Kapur IX,0.0
2021-10-15,ARG Kapur IX,0.0
2021-10-16,ARG Kapur IX,11.399999999999999
2021-10-17,ARG Kapur IX,22.0
2021-10-18,ARG Kapur IX,3.2
2021-10-19,ARG Kapur IX,21.8
2021-10-20,ARG Kapur IX,7.0
2021-10-21,ARG Kapur IX,25.2
2021-10-22,ARG Kapur IX,25.2
2021-10-23,ARG Kapur IX,10.4
2021-10-24,ARG Kapur IX,27.0
2021-10-25,ARG Kapur IX,0.2
2021-10-26,ARG Kapur IX,4.2
2021-10-27,ARG Kapur IX,0.0
2021-10-28,ARG Kapur IX,41.599999999999994
2021-10-29,ARG Kapur IX,0.0
2021-10-30,ARG Kapur IX,0.0
2021-10-31,ARG Kapur IX,24.6
2021-11-01,ARG Kapur IX,1.0000000000000002
2021-11-02,ARG Kapur IX,59.2
2021-11-03,ARG Kapur IX,63.6
2021-11-04,ARG Kapur IX,8.0
2021-11-05,ARG Kapur IX,6.4
2021-11-06,ARG Kapur IX,9.2
2021-11-07,ARG Kapur IX,0.0
2021-11-08,ARG Kapur IX,0.0
2021-11-09,ARG Kapur IX,0.4
2021-11-10,ARG Kapur IX,8.0
2021-11-11,ARG Kapur IX,2.8000000000000003
2021-11-12,ARG Kapur IX,0.2
2021-11-13,ARG Kapur IX,0.0
2021-11-14,ARG Kapur IX,0.0
2021-11-15,ARG Kapur IX,0.0
2021-11-16,ARG Kapur IX,0.0
2021-11-17,ARG Kapur IX,17.799999999999997
2021-11-18,ARG Kapur IX,0.0
2021-11-19,ARG Kapur IX,0.0
2021-11-20,ARG Kapur IX,0.0
2021-11-21,ARG Kapur IX,0.0
2021-11-22,ARG Kapur IX,0.0
2021-11-23,ARG Kapur IX,0.0
2021-11-24,ARG Kapur IX,0.0
2021-11-25,ARG Kapur IX,0.0
2021-11-26,ARG Kapur IX,0.0
2021-11-27,ARG Kapur IX,0.0
2021-11-28,ARG Kapur IX,0.0
2021-11-29,ARG Kapur IX,0.0
2021-11-30,ARG Kapur IX,0.0
2021-12-01,ARG Kapur IX,0.0
2021-12-02,ARG Kapur IX,0.0
2021-12-03,ARG Kapur IX,0.0
2021-12-04,ARG Kapur IX,0.0
2021-12-05,ARG Kapur IX,0.0
2021-12-06,ARG Kapur IX,5.2
2021-12-07,ARG Kapur IX,3.5999999999999996
2021-12-08,ARG Kapur IX,2.6
2021-12-09,ARG Kapur IX,13.0
2021-12-10,ARG Kapur IX,1.0000000000000004
2021-12-11,ARG Kapur IX,0.6000000000000001
2021-12-12,ARG Kapur IX,1.0000000000000002
2021-12-13,ARG Kapur IX,18.6
2021-12-14,ARG Kapur IX,42.99999999999999
2021-12-15,ARG Kapur IX,69.4
2021-12-16,ARG Kapur IX,4.8
2021-12-17,ARG Kapur IX,5.3999999999999995
2021-12-18,ARG Kapur IX,1.0000000000000002
2021-12-19,ARG Kapur IX,0.0
2021-12-20,ARG Kapur IX,0.0
2021-12-21,ARG Kapur IX,0.0
2021-12-22,ARG Kapur IX,0.0
2021-12-23,ARG Kapur IX,22.2
2021-12-24,ARG Kapur IX,4.0
2021-12-25,ARG Kapur IX,9.399999999999999
2021-12-26,ARG Kapur IX,7.000000000000001
2021-12-27,ARG Kapur IX,0.8000000000000002
2021-12-28,ARG Kapur IX,1.8000000000000003
2021-12-29,ARG Kapur IX,0.2
2021-12-30,ARG Kapur IX,20.0
2021-12-31,ARG Kapur IX,107.2
2022-01-01,ARG Kapur IX,10.0
2022-01-02,ARG Kapur IX,1.0000000000000002
2022-01-03,ARG Kapur IX,3.6
2022-01-04,ARG Kapur IX,0.4
2022-01-05,ARG Kapur IX,0.2
2022-01-06,ARG Kapur IX,55.8
2022-01-07,ARG Kapur IX,0.2
2022-01-08,ARG Kapur IX,168.6
2022-01-09,ARG Kapur IX,0.4
2022-01-10,ARG Kapur IX,0.2
2022-01-11,ARG Kapur IX,0.0
2022-01-12,ARG Kapur IX,0.0
2022-01-13,ARG Kapur IX,0.0
2022-01-14,ARG Kapur IX,0.0
2022-01-15,ARG Kapur IX,0.0
2022-01-16,ARG Kapur IX,3.8
2022-01-17,ARG Kapur IX,0.2
2022-01-18,ARG Kapur IX,21.6
2022-01-19,ARG Kapur IX,1.6000000000000003
2022-01-20,ARG Kapur IX,0.2
2022-01-21,ARG Kapur IX,2.2
2022-01-22,ARG Kapur IX,8.2
2022-01-23,ARG Kapur IX,0.0
2022-01-24,ARG Kapur IX,0.8
2022-01-25,ARG Kapur IX,20.2
2022-01-26,ARG Kapur IX,0.0
2022-01-27,ARG Kapur IX,0.8
2022-01-28,ARG Kapur IX,0.0
2022-01-29,ARG Kapur IX,0.0
2022-01-30,ARG Kapur IX,3.4000000000000004
2022-01-31,ARG Kapur IX,0.0
2022-02-01,ARG Kapur IX,0.8
2022-02-02,ARG Kapur IX,0.0
2022-02-03,ARG Kapur IX,10.2
2022-02-04,ARG Kapur IX,50.6
2022-02-05,ARG Kapur IX,32.2
2022-02-06,ARG Kapur IX,0.4
2022-02-07,ARG Kapur IX,0.0
2022-02-08,ARG Kapur IX,0.4
2022-02-09,ARG Kapur IX,4.800000000000001
2022-02-10,ARG Kapur IX,0.0
2022-02-11,ARG Kapur IX,15.4
2022-02-12,ARG Kapur IX,0.2
2022-02-13,ARG Kapur IX,8.8
2022-02-14,ARG Kapur IX,0.2
2022-02-15,ARG Kapur IX,1.2000000000000002
2022-02-16,ARG Kapur IX,8.2
2022-02-17,ARG Kapur IX,0.0
2022-02-18,ARG Kapur IX,4.4
2022-02-19,ARG Kapur IX,0.0
2022-02-20,ARG Kapur IX,0.0
2022-02-21,ARG Kapur IX,0.0
2022-02-22,ARG Kapur IX,31.599999999999998
2022-02-23,ARG Kapur IX,10.800000000000002
2022-02-24,ARG Kapur IX,0.0
2022-02-25,ARG Kapur IX,71.8
2022-02-26,ARG Kapur IX,0.8000000000000002
2022-02-27,ARG Kapur IX,28.8
2022-02-28,ARG Kapur IX,5.4
2022-03-01,ARG Kapur IX,3.4
2022-03-02,ARG Kapur IX,0.0
2022-03-03,ARG Kapur IX,16.0
2022-03-04,ARG Kapur IX,2.2
2022-03-05,ARG Kapur IX,26.2
2022-03-06,ARG Kapur IX,4.0
2022-03-07,ARG Kapur IX,5.400000000000001
2022-03-08,ARG Kapur IX,0.0
2022-03-09,ARG Kapur IX,17.8
2022-03-10,ARG Kapur IX,8.0
2022-03-11,ARG Kapur IX,4.4
2022-03-12,ARG Kapur IX,0.2
2022-03-13,ARG Kapur IX,0.0
2022-03-14,ARG Kapur IX,15.8
2022-03-15,ARG Kapur IX,16.8
2022-03-16,ARG Kapur IX,0.2
2022-03-17,ARG Kapur IX,0.1999999999999997
2022-03-18,ARG Kapur IX,0.4
2022-03-19,ARG Kapur IX,0.0
2022-03-20,ARG Kapur IX,0.0
2022-03-21,ARG Kapur IX,0.0
2022-03-22,ARG Kapur IX,0.0
2022-03-23,ARG Kapur IX,0.0
2022-03-24,ARG Kapur IX,0.0
2022-03-25,ARG Kapur IX,0.0
2022-03-26,ARG Kapur IX,0.0
2022-03-27,ARG Kapur IX,0.0
2022-03-28,ARG Kapur IX,0.0
2022-03-29,ARG Kapur IX,0.0
2022-03-30,ARG Kapur IX,0.0
2022-03-31,ARG Kapur IX,0.0
2022-04-01,ARG Kapur IX,41.0
2022-04-02,ARG Kapur IX,7.2
2022-04-03,ARG Kapur IX,4.4
2022-04-04,ARG Kapur IX,11.0
2022-04-05,ARG Kapur IX,50.4
2022-04-06,ARG Kapur IX,6.6000000000000005
2022-04-07,ARG Kapur IX,0.0
2022-04-08,ARG Kapur IX,5.0
2022-04-09,ARG Kapur IX,20.6
2022-04-10,ARG Kapur IX,21.4
2022-04-11,ARG Kapur IX,1.6000000000000003
2022-04-12,ARG Kapur IX,-0.6000000000000001
2022-04-13,ARG Kapur IX,0.0
2022-04-14,ARG Kapur IX,38.2
2022-04-15,ARG Kapur IX,0.4
2022-04-16,ARG Kapur IX,33.6
2022-04-17,ARG Kapur IX,0.8
2022-04-18,ARG Kapur IX,0.6000000000000001
2022-04-19,ARG Kapur IX,23.0
2022-04-20,ARG Kapur IX,6.0
2022-04-21,ARG Kapur IX,0.0
2022-04-22,ARG Kapur IX,0.0
2022-04-23,ARG Kapur IX,16.6
2022-04-24,ARG Kapur IX,8.800000000000002
2022-04-25,ARG Kapur IX,5.0
2022-04-26,ARG Kapur IX,0.2
2022-04-27,ARG Kapur IX,20.8
2022-04-28,ARG Kapur IX,1.2000000000000002
2022-04-29,ARG Kapur IX,0.0
2022-04-30,ARG Kapur IX,0.6000000000000001
2022-05-01,ARG Kapur IX,20.8
2022-05-02,ARG Kapur IX,0.2
2022-05-03,ARG Kapur IX,23.4
2022-05-04,ARG Kapur IX,0.0
2022-05-05,ARG Kapur IX,0.0
2022-05-06,ARG Kapur IX,0.0
2022-05-07,ARG Kapur IX,1.6
2022-05-08,ARG Kapur IX,0.0
2022-05-09,ARG Kapur IX,17.8
2022-05-10,ARG Kapur IX,3.1999999999999997
2022-05-11,ARG Kapur IX,10.0
2022-05-12,ARG Kapur IX,0.0
2022-05-13,ARG Kapur IX,0.0
2022-05-14,ARG Kapur IX,0.0
2022-05-15,ARG Kapur IX,0.0
2022-05-16,ARG Kapur IX,3.2
2022-05-17,ARG Kapur IX,0.0
2022-05-18,ARG Kapur IX,0.0
2022-05-19,ARG Kapur IX,0.0
2022-05-20,ARG Kapur IX,0.0
2022-05-21,ARG Kapur IX,67.8
2022-05-22,ARG Kapur IX,0.0
2022-05-23,ARG Kapur IX,0.0
2022-05-24,ARG Kapur IX,8.8
2022-05-25,ARG Kapur IX,0.0
2022-05-26,ARG Kapur IX,0.0
2022-05-27,ARG Kapur IX,0.0
2022-05-28,ARG Kapur IX,0.2
2022-05-29,ARG Kapur IX,0.0
2022-05-30,ARG Kapur IX,0.0
2022-05-31,ARG Kapur IX,0.8000000000000002
2022-06-01,ARG Kapur IX,0.0
2022-06-02,ARG Kapur IX,1.0
2022-06-03,ARG Kapur IX,6.000000000000001
2022-06-04,ARG Kapur IX,0.0
2022-06-05,ARG Kapur IX,9.4
2022-06-06,ARG Kapur IX,1.8000000000000003
2022-06-07,ARG Kapur IX,9.6
2022-06-08,ARG Kapur IX,1.4000000000000012
2022-06-09,ARG Kapur IX,0.0
2022-06-10,ARG Kapur IX,16.6
2022-06-11,ARG Kapur IX,0.4
2022-06-12,ARG Kapur IX,3.2
2022-06-13,ARG Kapur IX,28.6
2022-06-14,ARG Kapur IX,46.4
2022-06-15,ARG Kapur IX,5.8
2022-06-16,ARG Kapur IX,3.3999999999999995
2022-06-17,ARG Kapur IX,0.2
2022-06-18,ARG Kapur IX,2.0
2022-06-19,ARG Kapur IX,11.8
2022-06-20,ARG Kapur IX,0.0
2022-06-21,ARG Kapur IX,3.4000000000000004
2022-06-22,ARG Kapur IX,12.2
2022-06-23,ARG Kapur IX,32.2
2022-06-24,ARG Kapur IX,4.0
2022-06-25,ARG Kapur IX,0.0
2022-06-26,ARG Kapur IX,0.0
2022-06-27,ARG Kapur IX,0.0
2022-06-28,ARG Kapur IX,0.0
2022-06-29,ARG Kapur IX,0.0
2022-06-30,ARG Kapur IX,0.0
2022-07-01,ARG Kapur IX,0.0
2022-07-02,ARG Kapur IX,0.0
2022-07-03,ARG Kapur IX,0.0
2022-07-04,ARG Kapur IX,0.0
2022-07-05,ARG Kapur IX,0.0
2022-07-06,ARG Kapur IX,22.2
2022-07-07,ARG Kapur IX,0.4
2022-07-08,ARG Kapur IX,0.0
2022-07-09,ARG Kapur IX,0.0
2022-07-10,ARG Kapur IX,0.0
2022-07-11,ARG Kapur IX,27.4
2022-07-12,ARG Kapur IX,3.0
2022-07-13,ARG Kapur IX,0.0
2022-07-14,ARG Kapur IX,5.8
