date,station,rr
2015-01-01,ARG SMPK Tanah Datar,0.0
2015-01-02,ARG SMPK Tanah Datar,0.2
2015-01-03,ARG SMPK Tanah Datar,0.0
2015-01-04,ARG SMPK Tanah Datar,0.0
2015-01-05,ARG SMPK Tanah Datar,0.0
2015-01-06,ARG SMPK Tanah Datar,0.2
2015-01-07,ARG SMPK Tanah Datar,0.0
2015-01-08,ARG SMPK Tanah Datar,1.2000000000000002
2015-01-09,ARG SMPK Tanah Datar,4.4
2015-01-10,ARG SMPK Tanah Datar,1.4000000000000001
2015-01-11,ARG SMPK Tanah Datar,0.0
2015-01-12,ARG SMPK Tanah Datar,0.0
2015-01-13,ARG SMPK Tanah Datar,15.2
2015-01-14,ARG SMPK Tanah Datar,8.399999999999999
2015-01-15,ARG SMPK Tanah Datar,53.199999999999996
2015-01-16,ARG SMPK Tanah Datar,0.2
2015-01-17,ARG SMPK Tanah Datar,0.0
2015-01-18,ARG SMPK Tanah Datar,0.0
2015-01-19,ARG SMPK Tanah Datar,0.0
2015-01-20,ARG SMPK Tanah Datar,0.2
2015-01-21,ARG SMPK Tanah Datar,26.0
2015-01-22,ARG SMPK Tanah Datar,19.2
2015-01-23,ARG SMPK Tanah Datar,0.0
2015-01-24,ARG SMPK Tanah Datar,0.0
2015-01-25,ARG SMPK Tanah Datar,0.0
2015-01-26,ARG SMPK Tanah Datar,7.200000000000001
2015-01-27,ARG SMPK Tanah Datar,3.4000000000000004
2015-01-28,ARG SMPK Tanah Datar,0.2
2015-01-29,ARG SMPK Tanah Datar,0.0
2015-01-30,ARG SMPK Tanah Datar,8.0
2015-01-31,ARG SMPK Tanah Datar,2.0
2015-02-01,ARG SMPK Tanah Datar,0.2
2015-02-02,ARG SMPK Tanah Datar,0.0
2015-02-03,ARG SMPK Tanah Datar,0.0
2015-02-04,ARG SMPK Tanah Datar,0.0
2015-02-05,ARG SMPK Tanah Datar,43.599999999999994
2015-02-06,ARG SMPK Tanah Datar,1.9999999999999998
2015-02-07,ARG SMPK Tanah Datar,4.8
2015-02-08,ARG SMPK Tanah Datar,0.0
2015-02-09,ARG SMPK Tanah Datar,0.2
2015-02-10,ARG SMPK Tanah Datar,0.0
2015-02-11,ARG SMPK Tanah Datar,0.0
