date,station,rr
2017-09-11,ARG Solok Selatan,0.0
2017-09-12,ARG Solok Selatan,0.0
2017-09-13,ARG Solok Selatan,0.4
2017-09-14,ARG Solok Selatan,2.2
2017-09-15,ARG Solok Selatan,11.6
2017-09-16,ARG Solok Selatan,0.2
2017-09-17,ARG Solok Selatan,0.0
2017-09-18,ARG Solok Selatan,0.0
2017-09-19,ARG Solok Selatan,50.8
2017-09-20,ARG Solok Selatan,4.4
2017-09-21,ARG Solok Selatan,0.0
2017-09-22,ARG Solok Selatan,1.6
2017-09-23,ARG Solok Selatan,5.6000000000000005
2017-09-24,ARG Solok Selatan,0.0
2017-09-25,ARG Solok Selatan,61.8
2017-09-26,ARG Solok Selatan,13.4
2017-09-27,ARG Solok Selatan,16.6
2017-09-28,ARG Solok Selatan,15.2
2017-09-29,ARG Solok Selatan,9.0
2017-09-30,ARG Solok Selatan,0.0
2017-10-01,ARG Solok Selatan,2.2
2017-10-02,ARG Solok Selatan,6.2
2017-10-03,ARG Solok Selatan,46.0
2017-10-04,ARG Solok Selatan,13.0
2017-10-05,ARG Solok Selatan,0.0
2017-10-06,ARG Solok Selatan,5.6
2017-10-07,ARG Solok Selatan,11.4
2017-10-08,ARG Solok Selatan,8.4
2017-10-09,ARG Solok Selatan,0.8
2017-10-10,ARG Solok Selatan,1.2000000000000002
2017-10-11,ARG Solok Selatan,13.2
2017-10-12,ARG Solok Selatan,32.4
2017-10-13,ARG Solok Selatan,0.2
2017-10-14,ARG Solok Selatan,0.0
2017-10-15,ARG Solok Selatan,0.0
2017-10-16,ARG Solok Selatan,0.0
2017-10-17,ARG Solok Selatan,0.0
2017-10-18,ARG Solok Selatan,0.2
2017-10-19,ARG Solok Selatan,0.0
2017-10-20,ARG Solok Selatan,3.0
2017-10-21,ARG Solok Selatan,15.4
2017-10-22,ARG Solok Selatan,7.8
2017-10-23,ARG Solok Selatan,0.0
2017-10-24,ARG Solok Selatan,0.0
2017-10-25,ARG Solok Selatan,0.0
2017-10-26,ARG Solok Selatan,0.0
2017-10-27,ARG Solok Selatan,0.0
2017-10-28,ARG Solok Selatan,0.0
2017-10-29,ARG Solok Selatan,0.0
2017-10-30,ARG Solok Selatan,0.0
2017-10-31,ARG Solok Selatan,0.0
2017-11-01,ARG Solok Selatan,0.0
2017-11-02,ARG Solok Selatan,0.0
2017-11-03,ARG Solok Selatan,0.0
2017-11-04,ARG Solok Selatan,0.0
2017-11-05,ARG Solok Selatan,0.0
2017-11-06,ARG Solok Selatan,0.0
2017-11-07,ARG Solok Selatan,0.0
2017-11-08,ARG Solok Selatan,0.0
2017-11-09,ARG Solok Selatan,0.0
2017-11-10,ARG Solok Selatan,0.0
2017-11-11,ARG Solok Selatan,0.0
2017-11-12,ARG Solok Selatan,0.0
2017-11-13,ARG Solok Selatan,0.0
2017-11-14,ARG Solok Selatan,0.0
2017-11-15,ARG Solok Selatan,0.0
2017-11-16,ARG Solok Selatan,0.0
2017-11-17,ARG Solok Selatan,0.0
2017-11-18,ARG Solok Selatan,0.0
2017-11-19,ARG Solok Selatan,0.0
2017-11-20,ARG Solok Selatan,0.0
2017-11-21,ARG Solok Selatan,0.0
2017-11-22,ARG Solok Selatan,0.0
2017-11-23,ARG Solok Selatan,0.0
2017-11-24,ARG Solok Selatan,0.0
2017-11-25,ARG Solok Selatan,0.0
2017-11-26,ARG Solok Selatan,0.0
2017-11-27,ARG Solok Selatan,0.0
2017-11-28,ARG Solok Selatan,0.0
2017-11-29,ARG Solok Selatan,0.0
2017-11-30,ARG Solok Selatan,0.0
2017-12-01,ARG Solok Selatan,0.0
2017-12-02,ARG Solok Selatan,0.0
2017-12-03,ARG Solok Selatan,0.0
2017-12-04,ARG Solok Selatan,0.0
2017-12-05,ARG Solok Selatan,0.0
2017-12-06,ARG Solok Selatan,0.0
2017-12-07,ARG Solok Selatan,0.0
2017-12-08,ARG Solok Selatan,0.0
2017-12-09,ARG Solok Selatan,0.0
2017-12-10,ARG Solok Selatan,0.0
2017-12-11,ARG Solok Selatan,0.0
2017-12-12,ARG Solok Selatan,0.0
2017-12-13,ARG Solok Selatan,0.0
2017-12-14,ARG Solok Selatan,0.0
2017-12-15,ARG Solok Selatan,0.0
2017-12-16,ARG Solok Selatan,0.0
2017-12-17,ARG Solok Selatan,0.0
2017-12-18,ARG Solok Selatan,0.0
2017-12-19,ARG Solok Selatan,0.0
2017-12-20,ARG Solok Selatan,0.0
2017-12-21,ARG Solok Selatan,0.0
2017-12-22,ARG Solok Selatan,0.0
2017-12-23,ARG Solok Selatan,0.0
2017-12-24,ARG Solok Selatan,0.0
2017-12-25,ARG Solok Selatan,0.0
2017-12-26,ARG Solok Selatan,0.0
2017-12-27,ARG Solok Selatan,0.0
2017-12-28,ARG Solok Selatan,0.0
2017-12-29,ARG Solok Selatan,0.0
2017-12-30,ARG Solok Selatan,0.0
2017-12-31,ARG Solok Selatan,0.0
2018-01-01,ARG Solok Selatan,0.0
2018-01-02,ARG Solok Selatan,0.0
2018-01-03,ARG Solok Selatan,0.0
2018-01-04,ARG Solok Selatan,0.0
2018-01-05,ARG Solok Selatan,0.0
2018-01-06,ARG Solok Selatan,7.800000000000001
2018-01-07,ARG Solok Selatan,12.600000000000001
2018-01-08,ARG Solok Selatan,38.8
2018-01-09,ARG Solok Selatan,3.4
2018-01-10,ARG Solok Selatan,0.0
2018-01-11,ARG Solok Selatan,0.0
2018-01-12,ARG Solok Selatan,0.0
2018-01-13,ARG Solok Selatan,0.0
2018-01-14,ARG Solok Selatan,0.0
2018-01-15,ARG Solok Selatan,0.2
2018-01-16,ARG Solok Selatan,0.0
2018-01-17,ARG Solok Selatan,1.6
2018-01-18,ARG Solok Selatan,7.0
2018-01-19,ARG Solok Selatan,0.0
2018-01-20,ARG Solok Selatan,0.8000000000000002
2018-01-21,ARG Solok Selatan,0.8000000000000002
2018-01-22,ARG Solok Selatan,0.0
2018-01-23,ARG Solok Selatan,1.2000000000000002
2018-01-24,ARG Solok Selatan,0.2
2018-01-25,ARG Solok Selatan,0.0
2018-01-26,ARG Solok Selatan,0.0
2018-01-27,ARG Solok Selatan,0.0
2018-01-28,ARG Solok Selatan,0.0
2018-01-29,ARG Solok Selatan,0.0
2018-01-30,ARG Solok Selatan,0.0
2018-01-31,ARG Solok Selatan,0.0
2018-02-01,ARG Solok Selatan,4.8
2018-02-02,ARG Solok Selatan,0.0
2018-02-03,ARG Solok Selatan,2.6
2018-02-04,ARG Solok Selatan,17.2
2018-02-05,ARG Solok Selatan,3.6
2018-02-06,ARG Solok Selatan,10.4
2018-02-07,ARG Solok Selatan,0.6000000000000001
2018-02-08,ARG Solok Selatan,0.2
2018-02-09,ARG Solok Selatan,7.4
2018-02-10,ARG Solok Selatan,7.800000000000001
2018-02-11,ARG Solok Selatan,7.4
2018-02-12,ARG Solok Selatan,5.6
