date,station,rr
2017-10-26,AWS Pasaman Barat,0.0
2017-10-27,AWS Pasaman Barat,0.0
2017-10-28,AWS Pasaman Barat,4.2
2017-10-29,AWS Pasaman Barat,50.599999999999994
2017-10-30,AWS Pasaman Barat,15.799999999999999
2017-10-31,AWS Pasaman Barat,48.4
2017-11-01,AWS Pasaman Barat,75.6
2017-11-02,AWS Pasaman Barat,22.400000000000002
2017-11-03,AWS Pasaman Barat,19.4
2017-11-04,AWS Pasaman Barat,20.400000000000002
2017-11-05,AWS Pasaman Barat,4.4
2017-11-06,AWS Pasaman Barat,18.6
2017-11-07,AWS Pasaman Barat,15.4
2017-11-08,AWS Pasaman Barat,1.3999999999999995
2017-11-09,AWS Pasaman Barat,38.8
2017-11-10,AWS Pasaman Barat,3.8
2017-11-11,AWS Pasaman Barat,12.2
2017-11-12,AWS Pasaman Barat,6.3999999999999995
2017-11-13,AWS Pasaman Barat,5.800000000000001
2017-11-14,AWS Pasaman Barat,0.0
2017-11-15,AWS Pasaman Barat,78.8
2017-11-16,AWS Pasaman Barat,18.0
2017-11-17,AWS Pasaman Barat,20.2
2017-11-18,AWS Pasaman Barat,75.4
2017-11-19,AWS Pasaman Barat,0.0
2017-11-20,AWS Pasaman Barat,4.0
2017-11-21,AWS Pasaman Barat,15.4
2017-11-22,AWS Pasaman Barat,27.6
2017-11-23,AWS Pasaman Barat,55.4
2017-11-24,AWS Pasaman Barat,0.0
2017-11-25,AWS Pasaman Barat,38.2
2017-11-26,AWS Pasaman Barat,19.6
2017-11-27,AWS Pasaman Barat,49.4
2017-11-28,AWS Pasaman Barat,26.0
2017-11-29,AWS Pasaman Barat,4.6
2017-11-30,AWS Pasaman Barat,25.799999999999997
2017-12-01,AWS Pasaman Barat,8.6
2017-12-02,AWS Pasaman Barat,3.2000000000000006
2017-12-03,AWS Pasaman Barat,147.4
2017-12-04,AWS Pasaman Barat,3.2
2017-12-05,AWS Pasaman Barat,3.2
2017-12-06,AWS Pasaman Barat,0.0
2017-12-07,AWS Pasaman Barat,0.2
2017-12-08,AWS Pasaman Barat,5.2
2017-12-09,AWS Pasaman Barat,22.8
2017-12-10,AWS Pasaman Barat,0.0
2017-12-11,AWS Pasaman Barat,0.0
2017-12-12,AWS Pasaman Barat,3.8
2017-12-13,AWS Pasaman Barat,0.6000000000000001
2017-12-14,AWS Pasaman Barat,0.2
2017-12-15,AWS Pasaman Barat,0.0
2017-12-16,AWS Pasaman Barat,17.4
2017-12-17,AWS Pasaman Barat,0.0
2017-12-18,AWS Pasaman Barat,2.8
2017-12-19,AWS Pasaman Barat,3.0000000000000004
2017-12-20,AWS Pasaman Barat,1.0000000000000002
2017-12-21,AWS Pasaman Barat,0.2
2017-12-22,AWS Pasaman Barat,62.19999999999999
2017-12-23,AWS Pasaman Barat,7.0
2017-12-24,AWS Pasaman Barat,10.0
2017-12-25,AWS Pasaman Barat,35.6
2017-12-26,AWS Pasaman Barat,12.200000000000001
2017-12-27,AWS Pasaman Barat,0.6000000000000028
2017-12-28,AWS Pasaman Barat,0.0
2017-12-29,AWS Pasaman Barat,0.6000000000000001
2017-12-30,AWS Pasaman Barat,0.0
2017-12-31,AWS Pasaman Barat,7.2
2018-01-01,AWS Pasaman Barat,0.2
2018-01-02,AWS Pasaman Barat,13.6
2018-01-03,AWS Pasaman Barat,18.4
2018-01-04,AWS Pasaman Barat,14.199999999999998
2018-01-05,AWS Pasaman Barat,0.2
2018-01-06,AWS Pasaman Barat,0.0
2018-01-07,AWS Pasaman Barat,0.2
2018-01-08,AWS Pasaman Barat,27.2
2018-01-09,AWS Pasaman Barat,1.9999999999999998
2018-01-10,AWS Pasaman Barat,0.0
2018-01-11,AWS Pasaman Barat,0.0
2018-01-12,AWS Pasaman Barat,0.0
2018-01-13,AWS Pasaman Barat,0.0
2018-01-14,AWS Pasaman Barat,0.0
2018-01-15,AWS Pasaman Barat,0.0
2018-01-16,AWS Pasaman Barat,0.0
2018-01-17,AWS Pasaman Barat,0.0
2018-01-18,AWS Pasaman Barat,0.0
2018-01-19,AWS Pasaman Barat,0.0
2018-01-20,AWS Pasaman Barat,24.2
2018-01-21,AWS Pasaman Barat,0.2
2018-01-22,AWS Pasaman Barat,0.0
2018-01-23,AWS Pasaman Barat,14.8
2018-01-24,AWS Pasaman Barat,18.4
2018-01-25,AWS Pasaman Barat,0.0
2018-01-26,AWS Pasaman Barat,0.0
2018-01-27,AWS Pasaman Barat,0.0
2018-01-28,AWS Pasaman Barat,0.0
2018-01-29,AWS Pasaman Barat,0.0
2018-01-30,AWS Pasaman Barat,0.0
2018-01-31,AWS Pasaman Barat,0.0
2018-02-01,AWS Pasaman Barat,4.0
2018-02-02,AWS Pasaman Barat,0.4
2018-02-03,AWS Pasaman Barat,0.0
2018-02-04,AWS Pasaman Barat,0.0
2018-02-05,AWS Pasaman Barat,10.0
2018-02-06,AWS Pasaman Barat,46.8
2018-02-07,AWS Pasaman Barat,0.6000000000000001
2018-02-08,AWS Pasaman Barat,4.8
2018-02-09,AWS Pasaman Barat,18.2
2018-02-10,AWS Pasaman Barat,5.4
2018-02-11,AWS Pasaman Barat,0.4
2018-02-12,AWS Pasaman Barat,0.0
2018-02-13,AWS Pasaman Barat,0.0
2018-02-14,AWS Pasaman Barat,10.6
2018-02-15,AWS Pasaman Barat,2.2
2018-02-16,AWS Pasaman Barat,0.0
2018-02-17,AWS Pasaman Barat,43.0
2018-02-18,AWS Pasaman Barat,5.800000000000001
2018-02-19,AWS Pasaman Barat,61.8
2018-02-20,AWS Pasaman Barat,0.0
2018-02-21,AWS Pasaman Barat,0.0
2018-02-22,AWS Pasaman Barat,31.8
2018-02-23,AWS Pasaman Barat,0.4
2018-02-24,AWS Pasaman Barat,44.0
2018-02-25,AWS Pasaman Barat,0.2
2018-02-26,AWS Pasaman Barat,0.0
2018-02-27,AWS Pasaman Barat,0.0
2018-02-28,AWS Pasaman Barat,14.6
2018-03-01,AWS Pasaman Barat,12.2
2018-03-02,AWS Pasaman Barat,32.8
